0.128,0.34,0.37
0.91,0.095,0.43
0.348,0.05,0.405
0.282,0.1,0.12
0.065,1.21,0.295
0.192,1.58,0.405
0.215,0.76,0.44
0.335,1.03,0.525
1.2,0.32,0.675
0.24,0.785,0.67
0.195,0.58,1
0.07,0.21,0.76
0.3,0.09,0.715
0.132,0.345,0.665
0.135,1.18,0.73
0.132,0.095,0.47
0.28,0.975,0.46
0.408,0.83,0.42
0.09,1.45,0.35
0.09,0.575,0.765
0.12,0.075,0.095
0.32,1.13,0.11
0.12,0.28,0.09
0.28,0.65,0.31
0.36,0.505,0.725
0.045,0.075,2.85
0.18,0.83,4.55
0.457,1.355,4.62
0.155,0.06,8.7
0.19,0.33,8.7
0.218,0.1,8.7
0.038,0.21,8.7
0.818,0.165,8.7
0.07,1.93,8.7
0.165,0.285,8.7
0.242,0.275,8.7
0.198,0.195,8.7
0.105,0.565,8.7
0.058,0.8,8.7
0.735,1,8.7
0.282,0.335,8.7
0.115,1.48,8.7
0.132,0.74,8.7
0.365,1.91,8.7
0.067,0.735,8.7
0.99,0.095,5
0.31,0.32,5.35
0.405,1.185,5.4
0.21,0.89,8.7
0.76,0.355,8.7
0.72,0.13,8.7
0.4,0.15,8.7
0.115,0.07,0.09
0.265,0.845,0.76
0.355,0.04,0.04
0.39,0.15,0.32
0.135,0.125,0.41
0.31,0.175,0.14
0.335,0.145,0.14
0.092,0.34,0.09
0.275,0.395,0.18
0.095,0.09,0.22
0.045,0.135,0.25
0.03,0.07,0.55
0.058,0.055,0.58
0.3,0.09,0.61
0.165,0.05,1.8
0.27,0.225,0.77
0.29,1.46,0.78
0.155,0.6,1.77
0.05,0.3,1.81
0.015,0.25,0.83
0.033,0.08,0.97
0,0.055,1.11
0.091,0.11,1.37
0.32,0.7,1.39
0.11,0.02,1.51
0.05,0.155,1.57
0.17,0.385,1.38
0.43,0.11,1.63
0.7,0.605,1.65
0.12,0.175,1.83
0.145,0.095,1.89
0.22,0.095,0.77
0.54,0.07,1.07
0.135,0.18,1.41
0.1,0.115,1.38
0.075,0.45,1.75
0.078,1.13,1.87
0.035,0.43,2.05
0.295,0.39,3.79
0.085,0.7,3.45
0.185,0.07,3.47
0.03,0.77,5.7
0.085,0.16,5.5
0.08,0.795,6
0.81,1.61,8.3
0.345,1.7,8.7
0.205,1.9,8.7
0.095,1.48,8.7
