,CeV(D_small) [m],CeV(D_med) [m],CeV(D_large) [m]
N26,1,1,1
N30,1.6,1.6,1.6
N33,8,8,8
R30,10.5,10.5,10.5
S21,1,1,1
S26,1,1,1
S39,8.6,8.6,8.6
