0.05,0.11,0.125
0.025,0.03,0.015
0.06,0.09,0.08
0.075,0.07,0.125
0.105,0.06,0.08
0.135,0.045,0.08
0.075,0.04,0.13
0.12,0.04,0.07
0.055,0.07,0.1
0.045,0.075,0.06
0.095,0.1,0.27
0.035,0.12,0.065
0.07,0.38,0.025
0.08,0.06,0.1
0.035,0.035,0.11
0.04,0.055,0.155
0.075,0.05,0.315
0.13,0.08,0.185
0.17,0.2,0.23
0.225,0.2,0.23
0.2,0.215,0.29
0.06,0.16,0.41
0.045,0,0.77
0.1,0,0.12
0.12,0.04,0.29
0.125,0.01,0.34
0.125,0.065,0.28
0.2,0.13,0.035
0.3,0.2,0.03
0.2,0.215,0.2
0.025,0.23,0.275
0.01,0.415,0.29
0.075,0.24,0.32
0.205,0.36,0.015
0.205,0.12,0.06
0.06,0.21,0.115
0.075,0.205,0.265
0.06,0.22,0.045
0.015,0.21,0.245
0.02,0.06,0.08
0.025,0,0.35
0.02,0.07,0.39
0.135,0.04,0
0.02,0.135,0.09
0.095,0.15,0.26
0.09,0.245,0.185
0.09,0.175,0.135
0.115,0.095,0.165
0.125,0.08,0.18
0.085,0.06,0.22
0.05,0.115,0.175
0.075,0.085,0.11
0.15,0.14,0.2
0.165,0.09,0.295
0.19,0.115,0.325
0.09,0.11,0.32
0.185,0.095,0.19
0.2,0.085,0.43
0.14,0.035,0.2
0.095,0.135,0.18
0.095,0.14,0.205
0.19,0.07,0.34
0.175,0.025,0.17
0.015,0.115,0.025
0.005,0.17,0.065
0.05,0.045,0.105
0.07,0.105,0.305
0.055,0.08,0.3
0.05,0.11,0.15
0.02,0.13,0.45
0.1,0.215,0.11
0.025,0.17,0.19
0.035,0.025,0.195
0.085,0.18,0.15
0.06,0.28,0.31
0.07,0.26,0.15
0.05,0.205,0.105
0.06,0.18,0.105
0.145,0.16,0.255
0.07,0.17,0.225
0.02,0.17,0.105
0.08,0.28,0.24
0.065,0.025,0.22
0.03,0.03,0.14
0.37,0.04,0.15
0.185,0.02,0.08
0.21,0,0.53
0.06,0.015,0.22
0.05,0.065,0.145
0.04,0.045,0.27
0.055,0.01,0.265
0.07,0.02,0.055
0.055,0.15,0.085
0.11,0.03,0.15
0.08,0.13,0.09
0.205,0.03,0.08
0.025,0.225,0.09
0.045,0.055,0.37
0,0.065,0.05
0.055,0.09,0.18
