8,,15,,,8
8,,8,,,10
5,,7,,,5
5,,4,,,5
17,,15,,,5
5,,9,,,5
10,,5,,,5
3,,4,,,10
18,,6,,,5
7,,9,,,10
7,,4,,,10
7,,3,,,5
10,,5,,,20
5,,3,,,10
5,,8,,,5
5,,7,,,5
10,,13,,,5
4,,4,,,5
6,,8,,,10
8,,7,,,10
6,,15,,,5
6,,6,,,5
9,,4,,,10
4,,8,,,10
6,,5,,,5
4,,8,,,10
4,,5,,,10
12,,8,,,10
3,,5,,,15
8,,12,,,10
17,,5,,,10
8,,5,,,5
6,,4,,,5
6,,6,,,5
5,,4,,,10
5,,7,,,5
7,,6,,,20
5,,15,,,10
15,,12,,,5
7,,7,,,10
11,,5,,,10
10,,8,,,10
13,,20,,,10
5,,9,,,35
4,,4,,,20
10,,5,,,5
3,,7,,,10
17,,7,,,10
8,,11,,,5
5,,6,,,5
6,,7,,,5
10,,4,,,10
7,,7,,,10
3,,4,,,5
9,,7,,,10
10,,7,,,5
10,,7,,,10
5,,6,,,10
6,,15,,,5
7,,7,,,15
8,,13,,,10
14,,8,,,20
5,,5,,,5
4,,6,,,10
6,,15,,,10
7,,10,,,10
7,,17,,,10
8,,5,,,5
6,,6,,,15
3,,9,,,5
13,,10,,,10
3,,7,,,15
10,,4,,,5
5,,8,,,5
8,,6,,,5
5,,3,,,10
4,,7,,,10
6,,4,,,5
6,,8,,,15
7,,10,,,10
5,,6,,,10
5,,6,,,5
7,,6,,,10
8,,9,,,10
9,,3,,,10
7,,7,,,5
6,,5,,,5
3,,6,,,5
8,,7,,,10
4,,15,,,10
7,,8,,,10
14,,7,,,
3,,7,,,
5,,8,,,
3,,7,,,
5,,7,,,
6,,7,,,
12,,5,,,
4,,7,,,
13,,5,,,
30,,,,,
8,,,,,
10,,,,,
6,,,,,
6,,,,,
7,,,,,
3,,,,,
5,,,,,
12,,,,,
3,,,,,
7,,,,,
