2.06,13.88,3.16,3.57,5.23,3.6,12.18,44.48
7.11,21.34,10.95,8.98,4.47,5.29,18.22,20.58
0.66,13.52,4.94,13.29,5.72,6.98,20.37,11.49
10.53,10.39,6.51,8.9,9.55,10.01,23.68,19.15
11.71,3.31,6.63,17.55,5.93,10.51,11,37.28
12.22,3.48,20.57,3.96,16.07,6.27,11.85,19.52
6.02,0.1,20.85,25.1,9.53,6.79,20.79,14.75
3.99,2.36,9.58,4.72,6.34,15.56,11.22,20.81
6.37,2.97,6.07,5.66,4.4,16.53,20.59,22.61
4.05,4.61,13.36,5.23,20.02,4.72,51.04,9.49
6.1,2.62,8.43,5.4,8.37,26.78,12,7.11
6.04,4.07,17.38,3.74,5.76,7.84,19.02,12.44
12.05,8.96,4.1,5.26,3.18,8.66,19.22,10.96
7.49,3.1,18.3,5.61,2.95,7.75,19.66,18.52
5.39,3.24,10.52,7.35,17.66,9.13,39.81,5.07
8.01,9.17,42.94,5.02,7.14,2.32,16.21,3.44
15.34,5.5,11.52,2.52,4.6,5.73,22.15,19.67
3.75,6.84,9.44,3.91,3.41,1.21,37.34,23.96
4.05,3.5,5.91,13.64,1.46,4.6,6.49,32.96
9.21,0.1,7.72,4.46,6.87,32.03,11.04,7.94
6.99,5.01,9.41,4.07,6.4,12.29,11.42,12.97
8.03,6.05,10.61,5.95,0.1,7.53,27.71,32.67
5.74,7.04,,5.63,4.04,8.22,43.97,23.47
6.29,7.06,,30.9,,5.19,39.46,14.4
,,,,,11.19,19.1,31.56
,,,,,9.15,35.56,2.21
,,,,,9.8,25.41,8.35
,,,,,15.26,26.2,24.42
,,,,,12.79,14.96,20.1
,,,,,1.18,21.07,7.42
,,,,,3.14,22.65,18.22
,,,,,7.84,26.22,56.65
,,,,,8.04,22.97,14.54
,,,,,2.94,26.22,5.44
,,,,,,35.78,17.35
,,,,,,25.77,5.97
,,,,,,16.29,24.32
,,,,,,22.49,20.54
,,,,,,88.27,39.84
,,,,,,17.35,11.13
,,,,,,19.73,23.54
,,,,,,29.83,27.19
,,,,,,21.06,24.48
,,,,,,29.36,18.22
,,,,,,19.79,10.38
,,,,,,18.98,21.9
,,,,,,20.2,5.37
,,,,,,40.22,6.93
,,,,,,10.8,3.87
,,,,,,26.44,6.99
,,,,,,17.31,7.34
,,,,,,22.19,2.08
,,,,,,7.59,20.68
,,,,,,11.75,11.99
,,,,,,16.03,4.32
,,,,,,11.4,2.61
,,,,,,17.04,10.19
,,,,,,9.09,4.81
,,,,,,13.26,34.86
,,,,,,28.74,8.7
,,,,,,19.35,
,,,,,,12.63,
,,,,,,16.51,
