0.154,0.104,8.1
0.076,0.09,0.41
0.113,0.53,0.96
0.099,0.144,0.135
0.091,0.13,1.162
0.094,0.866,1.134
0.079,0.222,1.632
0.103,0.248,1.218
0.083,0.374,1.342
0.19,0.124,1.398
0.13,0.12,1.396
0.106,0.116,1.372
0.085,0.336,1.078
0.075,0.254,1.05
0.04,0.118,1.036
0.099,0.126,1.08
0.077,0.416,0.914
0.089,1.062,1.306
0.24,1.02,1.686
0.094,1.472,0.49
0.208,0.28,7.48
0.233,0.264,1.008
0.108,0.2,1.938
0.065,0.666,7.936
0.676,0.704,7.002
0.365,1.116,0.143
0.272,1.124,0.88
0.061,1.05,1.264
0.061,0.24,1.078
0.082,0.034,1.492
0.306,0.738,1.158
0.311,0.616,0.128
0.308,0.414,1.396
0.312,0.422,1.03
0.12,0.72,0.802
0.036,0.35,0.904
0.134,0.672,1.832
0.103,0.754,0.41
0.083,0.472,0.648
0.062,0.036,2.946
0.158,0.234,3.422
0.085,0.2,3.45
0.061,0.39,2.922
0.066,0.17,3.45
0.025,1.06,3.93
0.042,0.948,1.08
0.205,0.1,4.954
0.198,0.552,7.546
0.082,0.268,7.368
0.063,0.472,7.896
0.116,0.3,0.354
0.093,0.176,0.334
0.086,0.198,0.662
0.139,0.106,0.57
0.125,0.194,0.658
0.099,0.164,0.566
0.401,0.194,0.39
0.119,0.244,0.598
0.11,0.262,0.25
0.013,0.372,0.29
0.12,0.46,0.982
0.105,0.128,0.598
0.077,0.05,0.18
0.17,0.074,0.13
0.392,0.105,0.3
0.152,0.078,0.21
0.182,0.078,0.12
0.063,0.1,0.12
0.127,0.11,0.24
0.147,0.155,0.24
0.157,0.164,0.39
0.131,0.18,0.41
0.1,0.175,0.405
0.086,0.255,0.175
0.087,0.258,0.248
0.1,0.098,0.19
0.111,0.093,0.2
0.181,0.382,0.23
0.136,0.088,0.274
0.094,0.184,0.304
0.115,0.133,0.306
0.162,0.326,0.214
0.098,0.218,0.138
0.197,0.486,0.184
0.097,0.145,0.206
0.062,0.155,0.292
0.111,0.162,0.31
0.105,0.313,0.296
0.115,0.232,0.762
0.095,0.115,0.84
0.063,0.166,0.586
0.048,0.16,1.01
0.09,0.176,1.028
0.109,0.112,0.638
0.125,0.156,0.39
0.114,0.218,0.502
0.061,0.412,0.53
0.118,0.085,0.46
0.066,0.163,0.14
0.101,0.105,0.242
